Date,Day_of_Week,Is_Weekend,Season,Weather_Type,Special_Occasion,Holiday,Total_Customers,LPG_Usage_kg,Dosa_Sold,Idly_Sold,Vada_Sold,Puri_Sold
2020-01-01,Wednesday,0,Winter,Cold,Local Event,0,262,5.61,61,67,60,74
2020-01-02,Thursday,0,Winter,Cold,No Occasion,0,316,7.05,94,77,74,71
2020-01-03,Friday,0,Winter,Cold,No Occasion,0,281,6.71,60,107,18,96
2020-01-04,Saturday,1,Winter,Cold,Festival,1,760,17.67,184,137,165,274
2020-01-05,Sunday,1,Winter,Sunny,No Occasion,0,495,14.39,135,104,91,165
2020-01-06,Monday,0,Winter,Cold,No Occasion,0,257,5.97,70,68,49,70
2020-01-07,Tuesday,0,Winter,Cold,No Occasion,0,366,9.89,71,90,80,125
2020-01-08,Wednesday,0,Winter,Cold,Local Event,0,280,7.37,44,69,48,119
2020-01-09,Thursday,0,Winter,Foggy,No Occasion,0,378,10.65,121,96,58,103
2020-01-10,Friday,0,Winter,Foggy,No Occasion,0,211,4.43,41,63,67,40
2020-01-11,Saturday,1,Winter,Sunny,No Occasion,0,433,12.1,174,120,55,84
2020-01-12,Sunday,1,Winter,Foggy,No Occasion,0,355,8.82,155,87,40,73
2020-01-13,Monday,0,Winter,Cold,No Occasion,0,289,5.88,82,74,29,104
2020-01-14,Tuesday,0,Winter,Foggy,No Occasion,0,278,6.31,74,97,60,47
2020-01-15,Wednesday,0,Winter,Foggy,No Occasion,1,518,10.98,129,80,87,222
2020-01-16,Thursday,0,Winter,Cold,No Occasion,0,360,9.45,117,100,37,106
2020-01-17,Friday,0,Winter,Foggy,Festival,1,449,9.43,106,114,107,122
2020-01-18,Saturday,1,Winter,Cold,No Occasion,0,463,13.23,178,81,76,128
2020-01-19,Sunday,1,Winter,Foggy,No Occasion,0,407,11.32,202,47,58,100
2020-01-20,Monday,0,Winter,Cold,Local Event,0,367,10.96,129,80,48,110
2020-01-21,Tuesday,0,Winter,Cold,No Occasion,0,298,7.89,54,77,72,95
2020-01-22,Wednesday,0,Winter,Sunny,No Occasion,0,357,7.73,116,53,108,80
2020-01-23,Thursday,0,Winter,Cold,No Occasion,0,329,9.26,90,106,39,94
2020-01-24,Friday,0,Winter,Sunny,No Occasion,0,313,8.04,122,37,60,94
2020-01-25,Saturday,1,Winter,Cold,No Occasion,0,389,11.2,139,70,69,111
2020-01-26,Sunday,1,Winter,Sunny,No Occasion,0,401,11.25,60,110,97,134
2020-01-27,Monday,0,Winter,Rainy,No Occasion,0,250,6.55,112,85,50,3
2020-01-28,Tuesday,0,Winter,Cold,No Occasion,0,422,12.55,50,156,28,188
2020-01-29,Wednesday,0,Winter,Foggy,No Occasion,0,308,7.3,82,85,32,109
2020-01-30,Thursday,0,Winter,Foggy,No Occasion,0,348,9.89,136,68,61,83
2020-01-31,Friday,0,Winter,Cold,No Occasion,0,312,9.32,88,62,68,94
2020-02-01,Saturday,1,Winter,Foggy,No Occasion,0,387,10.59,127,69,116,75
2020-02-02,Sunday,1,Winter,Foggy,No Occasion,0,342,8.03,124,89,84,45
2020-02-03,Monday,0,Winter,Rainy,Festival,0,461,12.51,122,116,99,124
2020-02-04,Tuesday,0,Winter,Sunny,No Occasion,0,264,5.68,62,53,56,93
2020-02-05,Wednesday,0,Winter,Cold,No Occasion,0,337,6.78,85,112,46,94
2020-02-06,Thursday,0,Winter,Foggy,No Occasion,0,216,5.73,63,27,49,77
2020-02-07,Friday,0,Winter,Sunny,No Occasion,0,306,6.29,79,89,50,88
2020-02-08,Saturday,1,Winter,Cold,Festival,1,569,14.31,58,103,161,247
2020-02-09,Sunday,1,Winter,Rainy,No Occasion,0,307,7.53,144,78,55,30
2020-02-10,Monday,0,Winter,Foggy,No Occasion,0,297,6.0,77,64,66,90
2020-02-11,Tuesday,0,Winter,Cold,No Occasion,0,306,8.37,118,61,51,76
2020-02-12,Wednesday,0,Winter,Sunny,No Occasion,0,305,8.99,88,69,81,67
2020-02-13,Thursday,0,Winter,Sunny,No Occasion,0,326,8.77,114,88,76,48
2020-02-14,Friday,0,Winter,Sunny,Festival,1,563,15.6,94,157,134,178
2020-02-15,Saturday,1,Winter,Foggy,No Occasion,0,339,7.51,138,65,63,73
2020-02-16,Sunday,1,Winter,Cold,No Occasion,0,455,9.12,163,46,97,149
2020-02-17,Monday,0,Winter,Cold,No Occasion,0,244,7.18,53,52,55,84
2020-02-18,Tuesday,0,Winter,Cold,No Occasion,0,299,6.21,73,64,52,110
2020-02-19,Wednesday,0,Winter,Sunny,No Occasion,0,354,7.08,116,83,87,68
2020-02-20,Thursday,0,Winter,Cold,No Occasion,0,356,7.18,107,118,51,80
2020-02-21,Friday,0,Winter,Rainy,No Occasion,0,337,7.33,100,97,56,84
2020-02-22,Saturday,1,Winter,Cold,No Occasion,0,371,10.97,116,56,87,112
2020-02-23,Sunday,1,Winter,Sunny,Festival,1,354,9.1,66,51,102,135
2020-02-24,Monday,0,Winter,Sunny,No Occasion,0,289,6.75,73,95,63,58
2020-02-25,Tuesday,0,Winter,Sunny,No Occasion,0,347,10.28,96,102,93,56
2020-02-26,Wednesday,0,Winter,Cold,No Occasion,0,276,7.61,86,52,52,86
2020-02-27,Thursday,0,Winter,Cold,No Occasion,0,333,9.69,83,88,60,102
2020-02-28,Friday,0,Winter,Sunny,Local Event,0,284,6.97,74,57,72,81
2020-02-29,Saturday,1,Winter,Foggy,No Occasion,0,326,8.0,103,75,57,91
2020-03-01,Sunday,1,Summer,Sunny,No Occasion,0,427,10.04,158,129,107,33
2020-03-02,Monday,0,Summer,Sunny,No Occasion,0,350,9.74,113,106,77,54
2020-03-03,Tuesday,0,Summer,Sunny,No Occasion,0,243,4.93,53,77,58,55
2020-03-04,Wednesday,0,Summer,Sunny,No Occasion,0,255,5.44,49,75,29,102
2020-03-05,Thursday,0,Summer,Cloudy,Festival,1,499,11.6,106,115,96,182
2020-03-06,Friday,0,Summer,Cloudy,No Occasion,0,210,4.73,83,88,17,22
2020-03-07,Saturday,1,Summer,Sunny,No Occasion,0,401,8.38,154,96,104,47
2020-03-08,Sunday,1,Summer,Sunny,No Occasion,0,389,8.57,124,114,72,79
2020-03-09,Monday,0,Summer,Cloudy,Local Event,1,397,8.36,94,139,55,109
2020-03-10,Tuesday,0,Summer,Cloudy,Local Event,1,494,13.92,159,111,90,134
2020-03-11,Wednesday,0,Summer,Sunny,No Occasion,1,381,9.14,189,99,49,44
2020-03-12,Thursday,0,Summer,Sunny,No Occasion,0,317,8.05,88,108,70,51
2020-03-13,Friday,0,Summer,Sunny,No Occasion,0,296,7.79,82,123,35,56
2020-03-14,Saturday,1,Summer,Rainy,No Occasion,0,258,6.77,64,139,46,9
2020-03-15,Sunday,1,Summer,Sunny,No Occasion,0,534,14.29,148,186,120,80
2020-03-16,Monday,0,Summer,Sunny,No Occasion,0,253,6.37,58,107,40,48
2020-03-17,Tuesday,0,Summer,Sunny,Festival,1,512,12.55,99,164,60,189
2020-03-18,Wednesday,0,Summer,Cloudy,No Occasion,0,264,6.08,55,85,74,50
